Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_raz,sur_refl_qc_500m,sur_refl_day_of_year,sur_refl_vzen,sur_refl_state_500m,sur_refl_szen,real_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_NDSI,GF_NDWI1200
2009/01/01,749,1350,385,571,2320,2250,1617,11801,1073741824,5,1116,72,6208,2009/01/05,0.0749,0.135,0.0385,0.0571,0.232,0.225,0.1617,0.286326822296,0.115964959673,-0.25,-0.595179014534,-0.264305177112,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.286326822296,0.115964959673,-0.25,-0.595179014534,-0.264305177112
2009/01/09,995,1965,517,730,3331,3176,2177,11701,1073741824,10,4013,72,6060,2009/01/10,0.0995,0.1965,0.0517,0.073,0.3331,0.3176,0.2177,0.327702702703,0.172505779833,-0.235557284575,-0.626216077829,-0.257930513595,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.327702702703,0.172505779833,-0.235557284575,-0.626216077829,-0.257930513595
2009/01/17,1019,1808,523,766,3119,3227,2312,12078,1073741824,21,1116,72,5975,2009/01/21,0.1019,0.1808,0.0523,0.0766,0.3119,0.3227,0.2312,0.27909444641,0.14089788921,-0.281827209533,-0.616328575006,-0.266084838644,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.27909444641,0.14089788921,-0.281827209533,-0.616328575006,-0.266084838644
2009/01/25,1054,1840,554,816,2916,3298,2323,-5803,1073741824,30,67,72,5812,2009/01/30,0.1054,0.184,0.0554,0.0816,0.2916,0.3298,0.2323,0.271596406358,0.140266971233,-0.283768003114,-0.603305785124,-0.226240538267,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.271596406358,0.140266971233,-0.283768003114,-0.603305785124,-0.226240538267
2009/02/02,1147,2038,595,856,3363,3236,2357,12073,1073741824,35,3189,72,5554,2009/02/04,0.1147,0.2038,0.0595,0.0856,0.3363,0.3236,0.2357,0.279748822606,0.154072280823,-0.227152066743,-0.581622678397,-0.245324939826,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.279748822606,0.154072280823,-0.227152066743,-0.581622678397,-0.245324939826
2009/02/10,1180,2098,620,896,3215,3488,2398,-2168,1073741824,46,81,72,5342,2009/02/15,0.118,0.2098,0.062,0.0896,0.3215,0.3488,0.2398,0.28004881025,0.157970814978,-0.248836376656,-0.591240875912,-0.210239036326,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.28004881025,0.157970814978,-0.248836376656,-0.591240875912,-0.210239036326
2009/02/18,1306,2202,668,1003,3555,3690,2734,-5282,1073741824,55,1250,72,5082,2009/02/24,0.1306,0.2202,0.0668,0.1003,0.3555,0.369,0.2734,0.255416191562,0.149055097152,-0.252545824847,-0.572554868954,-0.235018238666,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.255416191562,0.149055097152,-0.252545824847,-0.572554868954,-0.235018238666
2009/02/26,1227,2085,645,949,3213,3170,2260,12339,1073741824,60,2218,136,4747,2009/03/01,0.1227,0.2085,0.0645,0.0949,0.3213,0.317,0.226,0.259057971014,0.146822273178,-0.206470028544,-0.539208545764,-0.212910532276,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.259057971014,0.146822273178,-0.206470028544,-0.539208545764,-0.212910532276
2009/03/06,1214,2146,645,938,3533,3442,2583,12507,1073741824,69,1126,72,4447,2009/03/10,0.1214,0.2146,0.0645,0.0938,0.3533,0.3442,0.2583,0.277380952381,0.159671063903,-0.23192555476,-0.571689497717,-0.244233139637,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.277380952381,0.159671063903,-0.23192555476,-0.571689497717,-0.244233139637
2009/03/14,1320,2213,680,1020,3530,3744,2796,-7246,1073741824,78,52,72,4145,2009/03/19,0.132,0.2213,0.068,0.102,0.353,0.3744,0.2796,0.252759694311,0.148506618772,-0.257008561356,-0.571788413098,-0.229322653665,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.252759694311,0.148506618772,-0.257008561356,-0.571788413098,-0.229322653665
